"CubeId";"bopcapbalq"
"PublishingDate";"2020-12-18 09:00"

"Date";"D0";"D1";"Value"
"2001-Q2";"NP";"VGB";"-31551.6282835"
"2001-Q2";"NP";"VGK";"-1942.02422534"
"2001-Q2";"NP";"OH0";
"2001-Q2";"NP";"US0";
"2001-Q2";"NP";"T6";"-1807.9"
"2001-Q2";"NP";"N1";
"2001-Q2";"NP";"OH1";"96.2"
"2001-Q2";"NP";"US1";"-1904.1"
"2001-Q2";"NP";"UNP";"0"
"2001-Q2";"S";"KD";"33310.46105039"
"2001-Q2";"S";"D0";"3364.65"
"2001-Q2";"S";"P";"16910.75840509"
"2001-Q2";"S";"D2";
"2001-Q2";"S";"UI";"11914.64649787"
"2001-Q2";"S";"W1";"1120.40614743"
"2001-Q3";"NA";"T0";"-49183.02632695"
"2001-Q3";"NA";"T1";"7242.025"
"2001-Q3";"NA";"B0";"4396.35"
"2001-Q3";"NA";"RE";"1033.075"
"2001-Q3";"NA";"K0";"1812.6"
"2001-Q3";"NA";"T2";"17355.59734916"
"2001-Q3";"NA";"T25";"9277.13905647"
"2001-Q3";"NA";"KFR";"4998.96973453"
"2001-Q3";"NA";"LFR";"4278.16932194"
"2001-Q3";"NA";"T3";"8078.45829269"
"2001-Q3";"NA";"A";"6912.05327201"
"2001-Q3";"NA";"K1";"1166.40502068"
"2001-Q3";"NA";"T4";"-74183.19183762"
"2001-Q3";"NA";"T5";"-68340.36718863"
"2001-Q3";"NA";"N0";"-2449.64999674"
"2001-Q3";"NA";"T55";"-67412.91719189"
"2001-Q3";"NA";"FGB";"-67197.90315729"
"2001-Q3";"NA";"OH0";
"2001-Q3";"NA";"US0";"1522.2"
"2001-Q3";"NA";"T6";"-4301.82464899"
"2001-Q3";"NA";"N1";"-3.946069"
"2001-Q3";"NA";"T65";"-3641.37857999"
"2001-Q3";"NA";"FGK";"-3641.37857999"
"2001-Q3";"NA";"OH1";"-246.6"
"2001-Q3";"NA";"US1";"-409.9"
"2001-Q3";"NA";"UNA";"-1541"
"2001-Q3";"NA";"T7";"402.54316152"
"2001-Q3";"NA";"G";
"2001-Q3";"NA";"RIWF";"485"
"2001-Q3";"NA";"S1";"-509"
"2001-Q3";"NA";"T8";"426.54316152"
"2001-Q3";"NA";"W0";"1468.47643782"
"2001-Q3";"NA";"BE";"-1041.93327631"
"2001-Q3";"NA";"U";"0"
"2001-Q3";"NP";"T0";"-59810.68082295"
"2001-Q3";"NP";"T1";"7179.575"
"2001-Q3";"NP";"B0";"4210.55"
"2001-Q3";"NP";"RE";"1487.275"
"2001-Q3";"NP";"K0";"1481.75"
"2001-Q3";"NP";"T2";"-1275.37680872"
"2001-Q3";"NP";"T25";"42.78391486"
"2001-Q3";"NP";"KFR";"-11.8394566"
"2001-Q3";"NP";"LFR";"54.62337146"
"2001-Q3";"NP";"T3";"-1318.16072359"
"2001-Q3";"NP";"A";"-2961.8343564"
"2001-Q3";"NP";"K1";"1643.67363281"
"2001-Q3";"NP";"T4";"-65714.87901423"
"2001-Q3";"NP";"T5";"-69357.57901423"
"2001-Q3";"NP";"N0";"-639.05327279"
"2001-Q3";"NP";"T55";"-68718.52574144"
"2001-Q3";"NP";"VGB";"-70880.68708716"
"2001-Q3";"NP";"VGK";"-66.29420958"
"2001-Q3";"NP";"OH0";
"2001-Q3";"NP";"US0";
"2001-Q3";"NP";"T6";"-2357.3"
"2001-Q3";"NP";"N1";
"2001-Q3";"NP";"OH1";"-11.7"
"2001-Q3";"NP";"US1";"-2345.6"
"2001-Q3";"NP";"UNP";"6000"
"2001-Q3";"S";"KD";"10627.65449601"
"2001-Q3";"S";"D0";"62.45"
"2001-Q3";"S";"P";"18630.97415788"
"2001-Q3";"S";"D2";
"2001-Q3";"S";"UI";"-8468.31282339"
"2001-Q3";"S";"W1";"402.54316152"
"2001-Q4";"NA";"T0";"59271.5421987"
"2001-Q4";"NA";"T1";"13050.825"
"2001-Q4";"NA";"B0";"6811.85"
"2001-Q4";"NA";"RE";"1033.075"
"2001-Q4";"NA";"K0";"5205.9"
"2001-Q4";"NA";"T2";"3667.40475511"
"2001-Q4";"NA";"T25";"1774.07303388"
"2001-Q4";"NA";"KFR";"3234.17292477"
"2001-Q4";"NA";"LFR";"-1460.09989089"
"2001-Q4";"NA";"T3";"1893.33172123"
"2001-Q4";"NA";"A";"-1359.72038182"
"2001-Q4";"NA";"K1";"3253.05210305"
"2001-Q4";"NA";"T4";"42234.38235091"
"2001-Q4";"NA";"T5";"41326.71002669"
"2001-Q4";"NA";"N0";"4277.46451151"
"2001-Q4";"NA";"T55";"37388.34551518"
"2001-Q4";"NA";"FGB";"41023.43005222"
"2001-Q4";"NA";"OH0";
"2001-Q4";"NA";"US0";"-339.1"
"2001-Q4";"NA";"T6";"905.87232422"
"2001-Q4";"NA";"N1";"3.13709028"
